Sumber,Periode,Indikator,Nilai,Satuan,Catatan
APJII,2025,Persentase responden yang bertransaksi online beberapa kali sebulan,30.34,%,Mayoritas transaksi dilakukan lewat marketplace
BPS,2024,Persentase usaha di Indonesia yang sudah berjualan online,42.02,%,Naik dibanding tahun sebelumnya (Survei/Sensus BPS)
Bank Indonesia,Q3 2025,Pertumbuhan jumlah transaksi e-commerce (YoY),20.5,%,Indikator volume transaksi
Bank Indonesia,Q3 2025,Jumlah transaksi e-commerce,1.44,Miliar transaksi,Total volume transaksi kuartal berjalan
Bank Indonesia,Q3 2025,Nilai transaksi e-commerce,134.67,Triliun Rupiah,Total nilai nominal transaksi kuartal berjalan
Bank Indonesia,Q3 2025,Rata-rata nilai per transaksi,Menurun,Kualitatif (nominal turun),Volume naik tapi rata-rata belanja per transaksi mengecil - sinyal penting untuk analisis margin
