scenario,hpp_rp,hpp_pct,ongkir_rp,ongkir_pct,ops_lain_rp,ops_lain_pct,komisi_rp,komisi_pct,proses_rp,proses_pct,profit_rp,profit_pct
efisien,365942756.9,35.0,221036638,21.140689859627606,83644058.72,8.0,103939878,9.941160636208783,22298840,2.1327362962761787,248457136.555,23.763278861128896
umum,575052903.7,55.00000000000001,221036638,21.140689859627606,83644058.72,8.0,103939878,9.941160636208783,22298840,2.1327362962761787,39346989.754999995,3.7632788611288945
ketat,731885513.8,70.0,221036638,21.140689859627606,83644058.72,8.0,103939878,9.941160636208783,22298840,2.1327362962761787,-117485620.345,-11.236721138871106
