order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000874,2025-04,Gantungan Baju / Hanger,KALIMANTAN BARAT,KOTA PONTIANAK,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,17400,37000,1740,1255
ORD_0000875,2025-04,Celengan,JAWA BARAT,KOTA BANDUNG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18680,10000,1868,1255
ORD_0000876,2025-04,Aksesoris Pintu,DKI JAKARTA,KOTA JAKARTA TIMUR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,19200,0,1920,1255
ORD_0000877,2025-04,Perlengkapan Packing,DKI JAKARTA,KOTA JAKARTA PUSAT,Saldo ShopeePay,Reguler (Cashless)-JNE Reguler,90693,18000,9069,1255
ORD_0000878,2025-04,Rak / Rak Serbaguna,SUMATERA SELATAN,KAB. MUSI RAWAS,COD (Bayar di Tempat),SPX Hemat,64050,27400,6405,1255
ORD_0000879,2025-04,Seal / Baut / Roof,JAWA BARAT,KOTA SUKABUMI,SPayLater,Hemat Kargo-SPX Hemat,83500,8000,8350,1255
ORD_0000880,2025-04,Celengan,BANTEN,KAB. LEBAK,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,15061,15000,1506,1255
ORD_0000881,2025-04,Aksesoris Pintu,BANTEN,KOTA TANGERANG,Saldo ShopeePay,JNE Reguler,8193,10000,819,1255
ORD_0000882,2025-04,Mangkok Sambal / Saus,SUMATERA UTARA,KAB. DELI SERDANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,64440,30000,6444,1255
ORD_0000883,2025-04,Celengan,BANTEN,KAB. LEBAK,Online Payment,Hemat Kargo-SPX Hemat,28520,0,2852,1255
ORD_0000884,2025-04,Bangku / Kursi Kecil,JAWA BARAT,KAB. PURWAKARTA,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17328,13000,1733,1255
ORD_0000885,2025-04,Mangkok Sambal / Saus,BANTEN,KOTA TANGERANG,Saldo ShopeePay,Hemat Kargo-SPX Hemat,13000,8000,1300,1255
ORD_0000886,2025-04,Tempat Nasi,JAWA TIMUR,KOTA KEDIRI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,15900,15000,1590,1255
ORD_0000887,2025-04,Nampan / Tray,JAWA BARAT,KOTA BEKASI,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,12776,9500,1278,1255
